area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,,630,1,1,39
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Iseenst,1403,2,2,60.81
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SLourle,1542,2,3,85
Built-up  Area,Ready To Move,Haralur Road,4 Bedroom,IDlleri,2750,4,0,220
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596,5,1,290
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,,1635,2,,78
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,1239,2,1,53
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2,2,47
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1596,3,1,105
Super built-up  Area,17-Nov,Channasandra,2 BHK,Unm 2El,1009,2,1,38.34
Super built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1726,3,2,81.99
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3,2,86
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,1300,2,1,58.5
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,3100,4,2,465
Super built-up  Area,Ready To Move,Coconut Garden,3 BHK,,1800,3,3,80
Super built-up  Area,19-Dec,Binny Pete,1 BHK,Shestlo,665,1,0,50.75
Plot  Area,Ready To Move,Chamrajpet,4 Bedroom,,4050,7,1,1200
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1500,2,1,100
Built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2,2,48
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,3356,4,,251
Super built-up  Area,Ready To Move,Gollahalli,2 BHK,ArzzaRe,1395,2,1,63.59
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,DSgam S,1415,2,1,55
Super built-up  Area,Ready To Move,Begur,3 BHK,Arera V,1419,2,2,59
Super built-up  Area,18-Feb,Kasavanhalli,2 BHK,Brersge,1121,2,2,78
Super built-up  Area,Ready To Move,Kambipura,3 BHK,,1082,2,1,45
Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1100,2,1,47
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Keers S,1606,3,3,89.55
Built-up  Area,Ready To Move,Billekahalli,3 BHK,,1650,3,2,88
Super built-up  Area,Ready To Move,D Souza Layout,3 BHK,Niateki,4634,4,3,1015
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,Vadel C,1206,2,3,75
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,HIideSu,1495,2,0,64
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,840,7,2,195
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,710,2,2,16
Super built-up  Area,Ready To Move,Balagere,2 BHK,,1210,2,1,72
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1523,2,2,53.4
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Krine C,1232,2,2,45
Super built-up  Area,20-Aug,Rachenahalli,1 BHK,AsNowre,680,1,1,44
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1355,3,1,83.87
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2,2,51.46
Super built-up  Area,18-Jun,Kothannur,3 BHK,,1275,2,2,43.85
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,56.1
Plot  Area,Ready To Move,Bettahalsoor,3 Bedroom,,1200,3,1,85
Plot  Area,Ready To Move,Electronic City,4 Bedroom,,2000,4,0,120
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,,1200,2,2,40
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,SatatHa,1610,3,1,90
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1140,2,2,43
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1143,2,2,38.65
Super built-up  Area,22-May,Jakkur,4 BHK,SoineC ,3467.86,6,3,249
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2,2,74.4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,980,2,2,69
Super built-up  Area,Ready To Move,Whitefield,3 BHK,ChodsGr,1485,3,2,65
Plot  Area,18-May,Whitefield,3 Bedroom,WoarkEm,1500,3,1,130
Super built-up  Area,18-Oct,Whitefield,2 BHK,Umods W,1280,2,1,75
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1265,2,2,85
Built-up  Area,20-Dec,"ECC Road, Whitefield, ",2 BHK,,1132,2,1,67
Super built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,SJcerpe,1262,2,2,63
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Maentor,940,2,1,49
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,,1515,3,3,88
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1300,3,3,150
Built-up  Area,Ready To Move,Kothanur,3 Bedroom,,1840,3,1,69
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,890,2,2,45
Super built-up  Area,Ready To Move,Rukmaiah Layout,3 BHK,,1655,3,2,86.06
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,2060,3,1,149
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,SNeur G,1730,3,1,96
Built-up  Area,Ready To Move,Yelahanka,3 BHK,Leilo E,2195,4,2,127
Super built-up  Area,18-Mar,Kathriguppe,3 BHK,,1650,3,2,125
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,1200,2,0,71
Super built-up  Area,18-May,Hosa Road,2 BHK,,1079,2,1,32.37
Super built-up  Area,19-Oct,Panathur,2 BHK,Caiya D,1085,2,1,36
Built-up  Area,Ready To Move,Maruthi Sevanagar,4 Bedroom,,5000,7,,299
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1075,2,1,51.5
Super built-up  Area,18-May,Devanahalli Int. Airport,2 BHK,,1380,2,1,80
Super built-up  Area,Ready To Move,Puttanahalli,3 BHK,,1450,3,1,65
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,,1200,2,2,78
Super built-up  Area,Ready To Move,Benson Town,3 BHK,,3200,4,,350
Super built-up  Area,21-Jul,Hoodi,3 BHK,GoAirej,1639,3,1,98.32
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1200,2,1,54
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1739,3,1,116
Built-up  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,4346,5,,500
Super built-up  Area,20-Dec,Old Madras Road,2 BHK,Shmes O,935,2,1,32.72
Super built-up  Area,21-Nov, Thanisandra,1 RK,Bhe 2ko,510,1,1,25.25
Plot  Area,Ready To Move,Devasandra Extension,6 Bedroom,,1200,6,3,180
Super built-up  Area,Ready To Move,Nagondanahalli,2 BHK,PrestSe,1178,2,3,47
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Siourpl,1375,2,1,50
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Halms S,1065,2,1,33
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1450,2,1,50.75
Built-up  Area,Ready To Move,BEML Layout,2 BHK,,999,2,3,45
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,,4400,3,2,475
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,,1350,4,1,135
Built-up  Area,Ready To Move,Kothannur,2 BHK,,1100,2,2,40
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Wiass G,1835,2,3,155
Super built-up  Area,20-Dec,Hoodi,4 BHK,Caycend,2090,4,0,95.1
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1519,3,1,93
Built-up  Area,Ready To Move,Dommasandra,3 BHK,Asene S,1267,3,2,56
Super built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Camesa ,1150,2,3,72.2
Super built-up  Area,19-Dec,Marathahalli,2 BHK,PrensKe,1146,2,1,70
Plot  Area,18-Feb,1st Block HRBR Layout,4 Bedroom,,1200,7,0,235
Built-up  Area,Ready To Move,Kannamangala,3 BHK,Marnaer,1550,3,3,65
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,850,1,1,18.5
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Kaestid,2200,3,,187
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 Bedroom,,3329,3,2,330
Carpet  Area,Ready To Move,Electronics City Phase 1,1 BHK,,785,1,1,55
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,2900,4,,300
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Avlya A,1610,3,2,74
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Krine O,921,2,2,40
Plot  Area,Ready To Move,Kengeri Satellite Town,3 Bedroom,,850,3,2,95
Built-up  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,2700,5,0,158
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SocusHi,1700,3,3,110
Built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,1020,2,2,35
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Dintsmi,1090,2,3,52
Plot  Area,Ready To Move,Bagalur Main Road,4 Bedroom,,3600,4,,300
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2,2,44
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2,2,42.1
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Prianhi,850,2,1,25
Built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,2,1,84
Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,ETntsce,3500,3,3,450
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,,920,2,2,39.55
Super built-up  Area,Ready To Move,Chamrajpet,4 Bedroom,,716Sq. Meter,9,1,296
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,i1rtsCo,1105,2,1,65
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,GoandAc,1850,3,3,100
Super built-up  Area,20-Dec,Judicial Layout,3 BHK,PrarePa,1300,3,1,64
Built-up  Area,Ready To Move,"Varthur Road, ",3 BHK,,1595,3,2,76
Super built-up  Area,19-Dec,Kodihalli,4 BHK,Priesla,3073,5,2,696
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,755,2,1,37.49
Built-up  Area,Ready To Move,Nagasandra,5 Bedroom,,4050,5,2,140
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,,1300,2,3,69
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1215,2,0,50
Super built-up  Area,20-Oct,Kanakpura Road,2 BHK,PrarePa,900,2,1,46
Super built-up  Area,18-Oct,Banashankari Stage III,2 BHK,,1145,2,3,58.4
Super built-up  Area,Ready To Move,Chikka Banaswadi,2 BHK,,1093,2,2,65
Super built-up  Area,17-Nov,Babusapalaya,3 BHK,,1213,2,2,41.39
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,PrliaRe,1654,3,2,100
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1105,2,1,52.48
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1611,2,2,66
Built-up  Area,Ready To Move,Outer Ring Road East,2 BHK,Hoens T,1367,2,2,62
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brntsal,1010,2,1,51
Plot  Area,Ready To Move,Kavika Layout,3 Bedroom,,750,2,1,75
Carpet  Area,Ready To Move,Vinayaka Nagar,3 BHK,SVon hn,1535,3,1,95
Super built-up  Area,Ready To Move,Anekal,2 BHK,,620,2,1,22
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,982,2,1,47.65
Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,,1700,2,2,150
Super built-up  Area,18-Dec,Whitefield,2 BHK,BSlasin,1330,2,1,71
Built-up  Area,Ready To Move,JP Nagar,3 Bedroom,Ronty C,2500,3,2,135
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1475,2,2,58.99
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,BSisear,1410,3,1,65
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,,440,1,1,16.5
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,1614,3,2,95
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,GeereEc,1363,2,2,68
Built-up  Area,Ready To Move,Kogilu,2 Bedroom,,650,2,0,28
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,2 BHK,,1015,2,1,45
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1156,2,2,46
Super built-up  Area,19-Mar,Hennur Busstop,2 BHK,,1100,2,1,62.7
Super built-up  Area,18-Jan,KR Puram,3 BHK,,1455,3,2,46
Super built-up  Area,Ready To Move,GB Palya,2 BHK,Ravashw,930,2,1,45
Built-up  Area,Ready To Move,AMS Layout,3 BHK,,1650,2,2,80
Built-up  Area,Ready To Move,KR Puram,2 Bedroom,,1200,2,0,90
Plot  Area,Ready To Move,9th Block Jayanagar,1 Bedroom,,700,1,0,150
Super built-up  Area,Ready To Move,Karuna Nagar,4 BHK,AjityIn,2900,3,,135
Super built-up  Area,18-Mar,Kadugodi,3 BHK,Alestrb,1890,4,3,127
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Vaour S,2197,4,3,280
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,3522,3,2,380
Super built-up  Area,18-Apr,Gaurava Nagar,3 BHK,,1240,2,2,46
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,Vaaveeh,1440,2,2,98
Super built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,,650,1,2,38
Super built-up  Area,19-Jun,Budigere,1 BHK,Brstaue,764,1,1,32
Plot  Area,Ready To Move,Sector 7 HSR Layout,5 Bedroom,,900,4,0,90
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,57.39
Built-up  Area,Ready To Move,Hoodi,3 BHK,Macanr ,1445,3,2,65
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,PrarePa,900,1,0,45
Super built-up  Area,Ready To Move,Singasandra,2 BHK,,1030,2,,55
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1381,2,2,52.48
Built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,1100,2,1,60
Super built-up  Area,Ready To Move,Hoodi,3 BHK,,1575,3,2,66.39
Plot  Area,Ready To Move,Thigalarapalya,2 Bedroom,,1200,2,1,65
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,43.2
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,GradeMR,1080,2,2,80
Plot  Area,Ready To Move,Hebbal Kempapura,5 Bedroom,,2280,5,,200
Super built-up  Area,18-Mar,Akshaya Nagar,3 BHK,,1360,2,2,85
Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,1865,3,1,124
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,AsastDe,1157,2,1,75
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Icingpy,674,2,1,29
Super built-up  Area,Ready To Move,Whitefield,3 BHK,AdndeBe,1405,2,1,78
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2,2,44.08
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4 Bedroom,,1600,3,1,172
Super built-up  Area,21-Mar,Hebbal,3 BHK,Oztarol,1790,3,2,127
Super built-up  Area,18-May,Electronic City,2 BHK,Prarkun,1128,2,1,65.65
Super built-up  Area,Ready To Move,Panathur,2 BHK,Arentpa,1180,2,1,70
Built-up  Area,Ready To Move,AGS Layout,3 BHK,,1450,2,2,85
Built-up  Area,18-Mar,Kengeri,1 BHK,,340,1,1,10
Built-up  Area,Ready To Move,Srinagar,4 Bedroom,,2000,3,1,166
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2,2,53.5
Super built-up  Area,Ready To Move,Varthur,2 BHK,Pethaai,1125,2,2,40
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,68
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2,1,61
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2,1,56
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,2465,5,2,234
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,,1300,2,3,55
Plot  Area,Ready To Move,Brigade Road,2 Bedroom,,1420,1,0,220
Plot  Area,Ready To Move,Bannerghatta,4 Bedroom,,810,4,1,50
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1065,2,1,35
Built-up  Area,Ready To Move,Hessarghatta,2 BHK,,700,2,0,27
Carpet  Area,18-Mar,Hebbal,2 BHK,Arcia S,547.34 - 827.31,2,0,42.72
Super built-up  Area,Ready To Move,Belathur,2 BHK,Viiniai,1050,2,1,45
Super built-up  Area,18-Apr,Maruthi HBCS Layout,3 BHK,,1250,3,3,39.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,Palleon,865,2,0,42
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1200,2,2,44
Built-up  Area,Ready To Move,Srirampura,3 BHK,NRnoral,1756,3,3,100
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,750,8,,150
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,Ardanru,628,1,1,24
Plot  Area,Ready To Move,9th Phase JP Nagar,4 Bedroom,,1200,6,2,195
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1207,2,2,63
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,KlarkBe,1765,3,1,125
Built-up  Area,18-Dec,Electronic City,2 BHK,,1130,2,1,32.64
Super built-up  Area,18-Jun,Devanahalli Road,3 BHK,Ozana U,1532,3,3,92
Built-up  Area,Ready To Move,Ejipura,3 BHK,DSncele,1650,3,0,110
Built-up  Area,18-May,Horamavu Banaswadi,4 Bedroom,,1200,4,2,105
Carpet  Area,18-Dec,Bhoganhalli,2 BHK,Rosha I,804.1,2,1,69.09
Super built-up  Area,18-Apr,Doddathoguru,2 BHK,,1200,2,2,75
Super built-up  Area,Ready To Move,Kengeri,2 BHK,,1197,2,2,50
Built-up  Area,Ready To Move,Green Woods Layout,2 BHK,Paarklu,1200,2,2,66
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Shony S,1385,2,2,48.48
Super built-up  Area,Ready To Move,Craig Park Layout,2 BHK,Cearkry,1010,2,3,148
Super built-up  Area,Ready To Move,Whitefield,3 BHK,UKe 2nz,2225,3,3,115
Super built-up  Area,Ready To Move,Immadihalli,2 BHK,Niimet ,1180,2,2,48
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1525,2,3,122
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,1100,2,2,31.5
Super built-up  Area,Ready To Move,Hiremath Layout,3 BHK,,1435,3,3,70
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 2hu,400,1,1,14
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,Asene S,1200,2,2,50
Super built-up  Area,21-Mar,Whitefield,2 BHK,PritaDo,1272,2,1,95.05
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1205,2,1,39
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,ARomee ,980,2,1,40
Super built-up  Area,18-May,Malleshpalya,2 BHK,,1225,2,2,46.86
Built-up  Area,Ready To Move,Whitefield,3 BHK,,1541,3,1,72
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1610,2,2,111
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1694,2,2,125
Plot  Area,Ready To Move,Jnanabharathi Layout,3 Bedroom,,600,3,2,75
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2,1,39
Super built-up  Area,Ready To Move,Muneshwara Nagar,3 BHK,Laderav,1560,2,3,66
Super built-up  Area,Ready To Move,Chandapura,2 BHK,,1201,2,2,27
Plot  Area,Ready To Move,Chandapura,2 Bedroom,,1500,2,1,60
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,,1785,3,2,75
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1258,2,1,63.53
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,2,2,42
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,,1297,2,2,112
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Vangsld,1291,2,3,49
Built-up  Area,Ready To Move,Chikkasandra,2 BHK,,1070,2,2,42
Super built-up  Area,Ready To Move,Varthur,2 BHK,Soamsay,1012,2,1,66.5
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,,1260,2,3,57.6
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Maantr ,1282,2,2,72
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1843,3,2,92.15
Plot  Area,Ready To Move,Bharath Housing Society Layout,4 Bedroom,,2400,3,,200
Built-up  Area,Ready To Move,Chikka Tirupathi,5 Bedroom,Theanmp,3356,5,2,105
Super built-up  Area,19-Mar,Hebbal,4 BHK,Raard B,2790,5,3,198
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,BrontLa,1330,2,1,86.98
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,A rtsai,1400,2,1,73
Built-up  Area,18-Dec,Whitefield,2 BHK,,1192,2,1,71
Built-up  Area,Ready To Move,3rd Block Jayanagar,2 BHK,,1000,2,1,130
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1297,2,2,103
Super built-up  Area,19-Jul,Sarjapur  Road,1 BHK,Sasta S,580 - 650,1,0,17.835
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1490,3,2,100
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,MJeusyl,1373,3,2,72
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1035,2,1,41.39
Plot  Area,Ready To Move,Kadugodi,4 Bedroom,,3750,4,0,210
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,,1010,2,1,40.39
Built-up  Area,Ready To Move,Sarjapur,2 BHK,,1195,2,1,42
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,Klort C,1750,3,2,95
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,A idse ,1052,2,2,50
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1180,2,2,58
Built-up  Area,Ready To Move,Padmanabhanagar,5 Bedroom,,3680,4,2,440
Built-up  Area,Ready To Move,Hormavu,3 BHK,,2100,3,2,73
Built-up  Area,18-Mar,Hoodi,4 Bedroom,,2863,4,1,140
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1128,2,2,38.24
Built-up  Area,Ready To Move,Ulsoor,3 BHK,,2700,3,1,450
Super built-up  Area,18-Jul,JP Nagar,2 BHK,DSvvyx ,1120,2,2,33.6
Built-up  Area,Ready To Move,HSR Layout,3 BHK,,2424,3,2,90
Built-up  Area,Ready To Move,Manjunatha Layout,2 BHK,,1300,2,1,60
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,SPavenc,1090,2,2,32.69
Built-up  Area,Ready To Move,Yelahanka,3 Bedroom,,2710,3,1,251
Plot  Area,Ready To Move,Konanakunte Cross,2 Bedroom,,3040,1,1,180
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2,2,46.55
Super built-up  Area,18-Jul,Hosur Road,3 BHK,PuendWe,1427,2,1,80.63
Super built-up  Area,18-Aug,Banjara Layout,3 BHK,,1294,2,2,48
Built-up  Area,Ready To Move,Begur,3 BHK,Vantspa,1580,3,2,75
Plot  Area,Ready To Move,Uttarahalli,5 Bedroom,,400,5,1,200
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,FiriaVi,1808,4,2,80.27
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3516,4,3,540
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2,2,47
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,900,2,1,46
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,3 BHK,,1310,2,3,50
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,PrarePa,900,2,1,46
Built-up  Area,Ready To Move,Singasandra,4 Bedroom,,3850,6,3,195
Plot  Area,Ready To Move,Kogilu,4 Bedroom,,925,7,3,88
Super built-up  Area,16-Dec,Yelachenahalli,2 BHK,,2400,1,1,150
Super built-up  Area,Ready To Move,Koramangala,2 BHK,,1290,2,3,100
Built-up  Area,Ready To Move,Yelahanka,6 Bedroom,,3770,6,3,110
Super built-up  Area,Ready To Move,Lakshmi Layout,3 BHK,Cemesti,1390,3,1,120
Plot  Area,Ready To Move,Tavarekere,4 Bedroom,,1200,4,2,72
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2,1,33
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1537,3,3,120
Super built-up  Area,Ready To Move,Immadihalli,2 BHK,,1135,2,2,68
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1512,3,2,75.77
Super built-up  Area,Ready To Move,Srinivasa Nagar,2 BHK,,900,2,1,55
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1230,3,3,54
Super built-up  Area,18-Apr,Thirumenahalli,3 BHK,MNtha A,1378,2,3,42.33
Super built-up  Area,17-Oct,Whitefield,2 BHK,Asarqz ,1277,2,1,61.3
Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1985,4,2,189
Plot  Area,Ready To Move,Kengeri,5 Bedroom,,8000,5,,500
Super built-up  Area,Ready To Move,KPC Layout,2 BHK,SVmesVi,1210,2,2,62
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,890,2,,40
Plot  Area,Ready To Move,JP Nagar,4 Bedroom,,2550,9,0,360
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,,1200,5,2,110
Built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,3198,4,3,200
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3 BHK,,1464,3,2,56
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5,2,215
Plot  Area,Ready To Move,Begur,4 Bedroom,,1550,4,2,130
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Vaunei ,4111,4,1,310
Super built-up  Area,Ready To Move,Electronic City,2 BHK,SNncypa,975,2,2,37.5
Super built-up  Area,Ready To Move,Nandi Durga Road,3 BHK,,2500,3,1,250
Super built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,PuoodSk,1690,3,1,125
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2,1,31.89
